_\no bella ciao, bella ciao, bella ciao ciao ciao!\nUna mattina mi son svegliato\ne ho trovato l'invasor.\n	Una mattina mi son svegliato,
Una mattina mi son svegliato,\n_\nUna mattina mi son svegliato\ne ho trovato l'invasor.\n	o bella ciao, bella ciao, bella ciao ciao ciao!
Una mattina mi son svegliato,\no bella ciao, bella ciao, bella ciao ciao ciao!\n_\ne ho trovato l'invasor.\n	Una mattina mi son svegliato
Una mattina mi son svegliato,\no bella ciao, bella ciao, bella ciao ciao ciao!\nUna mattina mi son svegliato\n_\n	e ho trovato l'invasor.
1\n	Una mattina mi son svegliato,\no bella ciao, bella ciao, bella ciao ciao ciao!\nUna mattina mi son svegliato\ne ho trovato l'invasor.\n
_\no bella ciao, bella ciao, bella ciao ciao ciao\no partigiano portami via\nche mi sento di morir.\n	O partigiano portami via,
O partigiano portami via,\n_\no partigiano portami via\nche mi sento di morir.\n	o bella ciao, bella ciao, bella ciao ciao ciao
O partigiano portami via,\no bella ciao, bella ciao, bella ciao ciao ciao\n_\nche mi sento di morir.\n	o partigiano portami via
O partigiano portami via,\no bella ciao, bella ciao, bella ciao ciao ciao\no partigiano portami via\n_\n	che mi sento di morir.
2\n	O partigiano portami via,\no bella ciao, bella ciao, bella ciao ciao ciao\no partigiano portami via\nche mi sento di morir.\n
_\no bella ciao, bella ciao, bella ciao ciao ciao,\ne se io muoio da partigiano\ntu mi devi seppellir.\n	E se io muoio da partigiano,
E se io muoio da partigiano,\n_\ne se io muoio da partigiano\ntu mi devi seppellir.\n	o bella ciao, bella ciao, bella ciao ciao ciao,
E se io muoio da partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\n_\ntu mi devi seppellir.\n	e se io muoio da partigiano
E se io muoio da partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\ne se io muoio da partigiano\n_\n	tu mi devi seppellir.
3\n	E se io muoio da partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\ne se io muoio da partigiano\ntu mi devi seppellir.\n
_\no bella ciao, bella ciao, bella ciao ciao ciao,\nseppellire lassù in montagna\nsotto l'ombra di un bel fior.\n	Seppellire lassù in montagna,
Seppellire lassù in montagna,\n_\nseppellire lassù in montagna\nsotto l'ombra di un bel fior.\n	o bella ciao, bella ciao, bella ciao ciao ciao,
Seppellire lassù in montagna,\no bella ciao, bella ciao, bella ciao ciao ciao,\n_\nsotto l'ombra di un bel fior.\n	seppellire lassù in montagna
Seppellire lassù in montagna,\no bella ciao, bella ciao, bella ciao ciao ciao,\nseppellire lassù in montagna\n_\n	sotto l'ombra di un bel fior.
4\n	Seppellire lassù in montagna,\no bella ciao, bella ciao, bella ciao ciao ciao,\nseppellire lassù in montagna\nsotto l'ombra di un bel fior.\n
_\no bella ciao, bella ciao, bella ciao ciao ciao,\ne le genti che passeranno\nmi diranno «che bel fior.»\n	E le genti che passeranno,
E le genti che passeranno,\n_\ne le genti che passeranno\nmi diranno «che bel fior.»\n	o bella ciao, bella ciao, bella ciao ciao ciao,
E le genti che passeranno,\no bella ciao, bella ciao, bella ciao ciao ciao,\n_\nmi diranno «che bel fior.»\n	e le genti che passeranno
E le genti che passeranno,\no bella ciao, bella ciao, bella ciao ciao ciao,\ne le genti che passeranno\n_\n	mi diranno «che bel fior.»
5\n	E le genti che passeranno,\no bella ciao, bella ciao, bella ciao ciao ciao,\ne le genti che passeranno\nmi diranno «che bel fior.»\n
_\no bella ciao, bella ciao, bella ciao ciao ciao,\nquesto è il fiore del partigiano\nmorto per la libertà\n	Questo è il fiore del partigiano,
Questo è il fiore del partigiano,\n_\nquesto è il fiore del partigiano\nmorto per la libertà\n	o bella ciao, bella ciao, bella ciao ciao ciao,
Questo è il fiore del partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\n_\nmorto per la libertà\n	questo è il fiore del partigiano
Questo è il fiore del partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\nquesto è il fiore del partigiano\n_\n	morto per la libertà
6\n	Questo è il fiore del partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\nquesto è il fiore del partigiano\nmorto per la libertà\n
Una mattina mi son svegliato,\n	_\no bella ciao, bella ciao, bella ciao ciao ciao!\nUna mattina mi son svegliato\ne ho trovato l'invasor.\n
o bella ciao, bella ciao, bella ciao ciao ciao!\n	Una mattina mi son svegliato,\n_\nUna mattina mi son svegliato\ne ho trovato l'invasor.\n
Una mattina mi son svegliato\n	Una mattina mi son svegliato,\no bella ciao, bella ciao, bella ciao ciao ciao!\n_\ne ho trovato l'invasor.\n
e ho trovato l'invasor.\n	Una mattina mi son svegliato,\no bella ciao, bella ciao, bella ciao ciao ciao!\nUna mattina mi son svegliato\n_\n
O partigiano portami via,\n	_\no bella ciao, bella ciao, bella ciao ciao ciao\no partigiano portami via\nche mi sento di morir.\n
o bella ciao, bella ciao, bella ciao ciao ciao\n	O partigiano portami via,\n_\no partigiano portami via\nche mi sento di morir.\n
o partigiano portami via\n	O partigiano portami via,\no bella ciao, bella ciao, bella ciao ciao ciao\n_\nche mi sento di morir.\n
che mi sento di morir.\n	O partigiano portami via,\no bella ciao, bella ciao, bella ciao ciao ciao\no partigiano portami via\n_\n
E se io muoio da partigiano,\n	_\no bella ciao, bella ciao, bella ciao ciao ciao,\ne se io muoio da partigiano\ntu mi devi seppellir.\n
o bella ciao, bella ciao, bella ciao ciao ciao,\n	E se io muoio da partigiano,\n_\ne se io muoio da partigiano\ntu mi devi seppellir.\n
e se io muoio da partigiano\n	E se io muoio da partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\n_\ntu mi devi seppellir.\n
tu mi devi seppellir.\n	E se io muoio da partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\ne se io muoio da partigiano\n_\n
Seppellire lassù in montagna,\n	_\no bella ciao, bella ciao, bella ciao ciao ciao,\nseppellire lassù in montagna\nsotto l'ombra di un bel fior.\n
o bella ciao, bella ciao, bella ciao ciao ciao,\n	Seppellire lassù in montagna,\n_\nseppellire lassù in montagna\nsotto l'ombra di un bel fior.\n
seppellire lassù in montagna\n	Seppellire lassù in montagna,\no bella ciao, bella ciao, bella ciao ciao ciao,\n_\nsotto l'ombra di un bel fior.\n
sotto l'ombra di un bel fior.\n	Seppellire lassù in montagna,\no bella ciao, bella ciao, bella ciao ciao ciao,\nseppellire lassù in montagna\n_\n
E le genti che passeranno,\n	_\no bella ciao, bella ciao, bella ciao ciao ciao,\ne le genti che passeranno\nmi diranno «che bel fior.»\n
o bella ciao, bella ciao, bella ciao ciao ciao,\n	E le genti che passeranno,\n_\ne le genti che passeranno\nmi diranno «che bel fior.»\n
e le genti che passeranno\n	E le genti che passeranno,\no bella ciao, bella ciao, bella ciao ciao ciao,\n_\nmi diranno «che bel fior.»\n
mi diranno «che bel fior.»\n	E le genti che passeranno,\no bella ciao, bella ciao, bella ciao ciao ciao,\ne le genti che passeranno\n_\n
Questo è il fiore del partigiano,\n	_\no bella ciao, bella ciao, bella ciao ciao ciao,\nquesto è il fiore del partigiano\nmorto per la libertà\n
o bella ciao, bella ciao, bella ciao ciao ciao,\n	Questo è il fiore del partigiano,\n_\nquesto è il fiore del partigiano\nmorto per la libertà\n
questo è il fiore del partigiano\n	Questo è il fiore del partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\n_\nmorto per la libertà\n
morto per la libertà\n	Questo è il fiore del partigiano,\no bella ciao, bella ciao, bella ciao ciao ciao,\nquesto è il fiore del partigiano\n_\n
