aktuelan	momentan
ali	aber
baviti	beschäftigen
belaj	Problem
bolest	Krankheit
da	ja
dakle	also/daher
dan	Tag
dobar	gut
doviđenja	auf Wiedersehen
doći	kommen
drugačiji	anders
dugo	lang
duže	länger
dva	zwei
ekonomičnost	Wirtschaftlichkeit
emisija	Sendung
gledati	anschauen
govoriti	sprechen
gripa	Grippe
htjeti	wollen
hvala	danke
ili	oder
imati	haben
ime	Name
informatike	Informatik
interessantan	interessant
isto	gleich/dasselbe
iz	aus
izviniti	entschuldigen
jer	weil
jesti	essen
jutro	Morgen
jučer	gestern
kad	als
kniga	Buch
kola	Auto
kratak	kurz
kraće	kürzer
krevet	Bett
kutija	Schachtel
loš	schlecht
malo	ein bisschen/wenig
misliti	denken
mnogo	viel
molim	bitte
morati	müssen
moći	können
nalaziti	finden
nazvati	anrufen
ne	nein
nedjelja	Sonntag
nego	als
ni	auch nicht
njemačka	Deutschland
oba	beide
objasniti	erklären
odlazi	weggehen
onda	dann
operativni sistem	Betriebssystem
opet	schon wieder
oprostiti	verzeihen
ovdje	hier
ovo	dass
petak	Freitag
pisati	schreiben
piti	trinken
pluća	Lunge
ponedeljak	Montag
ponoviti	wiederholen
porodica	Familie
pravac	Richtung
predavanje	Vorlesung
prekasno	zu spät
premalo	zu wenig
prskočiti	auslassen
prvo	zuerst
puno	viel
pustiti	herauslassen
raditi	arbeiten
raniji	vorher
razbojništvo	Raub
razgovarati	sprechen mit
razumjeti	verstehen
reći	sagen
riječ	Wort
rsijeda	Mittwoch
sa	mit
sada	jetzt
samo	nur
sestra	Schwester
sigurnost	Sicherheit
slično	ähnlich
slušati	hören
smjer	Richtung
smjeti	dürfen
spavati	schlafen
student	Student
stvar	Ding
subota	Samstag
sutra	morgen
također	auch
težak	schwierig
tjelasan	körperlich
u	in
ulica	Straße
umjetnost	Kunst
umoran	müde
uraditi	machen
utorak	Dienstag
uvijek	immer
uzeti	nehmen
uzrok	Grund
vječba	Übung
vječbati	üben
vjerovati	glauben
voda	Wasser
vozač	Fahrer
vrijeme	Zeit
vrlo	sehr
za	für/nach
zatvoren	geschlossen
zašto	warum
zima	Winter
znati	wissen
zvati	nennen/rufen
čaj	Tee
često	oft
četvrtak	Donnerstag
škola	Schule
želiti	wünschen/wollen
ranije	früher
dolaziti	kommen
stoga	daher
nadati se	hoffen
na	an/in/am/auf
sresti	treffen
tamo	dort
kazalište	Theater
plesati	tanzen
moj	mein
haljina	Kleid
plav	blau
kuhati	kochen
torta	Torte
slaviti	feiern
ići	gehen
kamion	LKW
brat	Bruder
ujak	Onkel
otac	Vater
striz	Onkel
muž	Ehemann
od	von/ab/seit
tetka	Tante
detak	Onkel
žena	Frau
kada	wann/als
uveče	abends
ručak	Mittagessen
biti	sein
sveučilište	Universität
dobiti	bekommen
rad	Arbeit
bolje	besser
ako	wenn/falls
preko	durch
nebo	Himmel
sve	alles
zvaista	wirklich
posjetiti	besuchen
djed	Großvater
danas	heute
ležati	liegen
možda	vielleicht
magla	Nebel
osjećati	fühlen
iznade	über
pitanje	Frage
namjera	Absicht/Vorhaben
rezultat	Ergebnis
ideja	Idee
još	noch
učiti	lernen
izdati	verraten
dati	geben
budučnost	Zukunft
sadašnjost	Gegenwart
prošlost	Vergangenheit
sječanje	Erinnerung
sječati se	sich erinnern
čisto	sauber
sredina	Mitte
jedan	eins
dwa	zwei
tri	drei
četri	vier
pet	fünf
šest	sechs
sedam	sieben
osam	acht
devet	neun
deset	zehn
trebati	brauchen
kazati	erzählen
pričati	sprechen
pitati	fragen
hodati	gehen
stajati	stehen
dolje	runter
napraviti	machen
zdravo	hallo
avion	Flugzeug
zapad	Westen
ćao	hi
bicikl	Fahrrad
voljeti	lieben
putovati	reisen
ostati	bleiben
pravo	nach vorn
gore	hoch
pozdrav	Begrüßung
onako	naja
trajekt	Fähre
lijevo	links
laku	einfach
viditi	sehen
desno	rechts
sjever	Norden
istok	Osten
jug	Süden
skrenuti	drehen/umdrehen
auto	Auto
voz	Zug
autobus	Bus
brod	Schiff
pješke	zu Fuß
vidjeti	sehen
sedmica	Woche
mjesec	Monat/Mond
januar	Januar
februar	Februar
mart	März
april	April
maj	Mai
juni	Juni
juli	Juli
avgust	August
septembar	September
oktobar	Oktober
novembar	November
decembar	Dezember
proljeće	Frühling
ljeto	Sommer
jesen	Herbst
zima	Winter
godina	Jahr
jenanaest	elf
dvanaest	zwölf
trineast	dreizehn
četrnaest	vierzehn
petnaest	fünfzehn
šesnaest	sechzehn
sedamnaest	siebzehn
osamnaest	achtzehn
devetnaest	neunzehn
dvadeset	zwanzig
dvadeset jedan	einundzwanzig
dvadeset dva	zweiundzwanzig
trideset	dreißig
četrdeset	vierzig
pedeset	fünfzig
šezdeset	sechzig
sedamdeset	siebzig
osamdeset	achtzig
devedeset	neuzig
sto	hundert
sto jedan	einhunderteins
dvojesto	zweihundert
trijesto	dreihundert
četirinesto	vierhundert
petsto	fünfhundert
šeststo	sechshundert
sedamsto	siebenhundert
osamsto	achthundert
devetsto	neunhundert
hiljadu	tausend
bijela	weiß
žuta	gelb
narandžasta	orange
crvena	rot
roza	pink
ljubičasta	violett
plava	blau
zelena	grün
siva	grau
carn	schwarz
smeđa	brown
sat	Stunde
minuta	Minute
sekunda	Sekunde
podne	Mittag
večer	Abend
noć	Nacht
ujutru/ujutro	morgens
popodne	mittags
naveče	abends
prekosutra	übermorgen
prekjuče	vorgestern
ovo ljeto	diesen Sommer
iduće ljeto	nächsten Sommer
prošlo ljeto	letzten Sommer
Koliko je sati?	Wie viel Uhr ist es?
_ je sati.	Es ist _ Uhr.
Tačno je _ sati.	Es ist exakt _ Uhr.
