_\nel pueblo unido jamás será vencido...\n	El pueblo unido jamás será vencido,
El pueblo unido jamás será vencido,\n_\n	el pueblo unido jamás será vencido...
1\n	El pueblo unido jamás será vencido,\nel pueblo unido jamás será vencido...\n
_\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n	De pie, cantar
De pie, cantar\n_\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n	que vamos a triunfar.
De pie, cantar\nque vamos a triunfar.\n_\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n	Avanzan ya
De pie, cantar\nque vamos a triunfar.\nAvanzan ya\n_\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n	banderas de unidad.
De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\n_\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n	Y tú vendrás
De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\n_\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n	marchando junto a mí
De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\n_\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n	y así verás
De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\n_\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n	tu canto y tu bandera florecer,
De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\n_\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n	la luz
De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\n_\nanuncia ya\nla vida que vendrá.\n	de un rojo amanecer
De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\n_\nla vida que vendrá.\n	anuncia ya
De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\n_\n	la vida que vendrá.
2\n	De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n
_\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\na conquistar\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\ndirán\ncanción de libertad\ncon decisión\nla patria vencerá.\n	De pie, luchar
De pie, luchar\n_\nSerá mejor\nla vida que vendrá\na conquistar\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\ndirán\ncanción de libertad\ncon decisión\nla patria vencerá.\n	el pueblo va a triunfar.
De pie, luchar\nel pueblo va a triunfar.\n_\nla vida que vendrá\na conquistar\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\ndirán\ncanción de libertad\ncon decisión\nla patria vencerá.\n	Será mejor
De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\n_\na conquistar\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\ndirán\ncanción de libertad\ncon decisión\nla patria vencerá.\n	la vida que vendrá
De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\n_\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\ndirán\ncanción de libertad\ncon decisión\nla patria vencerá.\n	a conquistar
De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\na conquistar\n_\ny en un clamor\nmil voces de combate se alzarán\ndirán\ncanción de libertad\ncon decisión\nla patria vencerá.\n	nuestra felicidad
De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\na conquistar\nnuestra felicidad\n_\nmil voces de combate se alzarán\ndirán\ncanción de libertad\ncon decisión\nla patria vencerá.\n	y en un clamor
De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\na conquistar\nnuestra felicidad\ny en un clamor\n_\ndirán\ncanción de libertad\ncon decisión\nla patria vencerá.\n	mil voces de combate se alzarán
De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\na conquistar\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\n_\ncanción de libertad\ncon decisión\nla patria vencerá.\n	dirán
De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\na conquistar\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\ndirán\n_\ncon decisión\nla patria vencerá.\n	canción de libertad
De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\na conquistar\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\ndirán\ncanción de libertad\n_\nla patria vencerá.\n	con decisión
De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\na conquistar\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\ndirán\ncanción de libertad\ncon decisión\n_\n	la patria vencerá.
3\n	De pie, luchar\nel pueblo va a triunfar.\nSerá mejor\nla vida que vendrá\na conquistar\nnuestra felicidad\ny en un clamor\nmil voces de combate se alzarán\ndirán\ncanción de libertad\ncon decisión\nla patria vencerá.\n
_\nque se alza en la lucha\ncon voz de gigante\ngritando: ¡adelante!\n	Y ahora el pueblo
Y ahora el pueblo\n_\ncon voz de gigante\ngritando: ¡adelante!\n	que se alza en la lucha
Y ahora el pueblo\nque se alza en la lucha\n_\ngritando: ¡adelante!\n	con voz de gigante
Y ahora el pueblo\nque se alza en la lucha\ncon voz de gigante\n_\n	gritando: ¡adelante!
4\n	Y ahora el pueblo\nque se alza en la lucha\ncon voz de gigante\ngritando: ¡adelante!\n
_\nel pueblo unido jamás será vencido...\n	El pueblo unido jamás será vencido,
El pueblo unido jamás será vencido,\n_\n	el pueblo unido jamás será vencido...
5\n	El pueblo unido jamás será vencido,\nel pueblo unido jamás será vencido...\n
_\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n	La patria está
La patria está\n_\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n	forjando la unidad
La patria está\nforjando la unidad\n_\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n	de norte a sur
La patria está\nforjando la unidad\nde norte a sur\n_\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n	se movilizará
La patria está\nforjando la unidad\nde norte a sur\nse movilizará\n_\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n	desde el salar
La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\n_\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n	ardiente y mineral
La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\n_\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n	al bosque austral
La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\n_\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n	unidos en la lucha y el trabajo
La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\n_\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n	irán
La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\n_\nsu paso ya\nanuncia el porvenir.\n	la patria cubrirán,
La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\n_\nanuncia el porvenir.\n	su paso ya
La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\n_\n	anuncia el porvenir.
6\n	La patria está\nforjando la unidad\nde norte a sur\nse movilizará\ndesde el salar\nardiente y mineral\nal bosque austral\nunidos en la lucha y el trabajo\nirán\nla patria cubrirán,\nsu paso ya\nanuncia el porvenir.\n
_\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n	De pie, cantar
De pie, cantar\n_\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n	el pueblo va a triunfar
De pie, cantar\nel pueblo va a triunfar\n_\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n	millones ya,
De pie, cantar\nel pueblo va a triunfar\nmillones ya,\n_\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n	imponen la verdad,
De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\n_\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n	de acero son
De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\n_\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n	ardiente batallón
De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\n_\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n	sus manos van
De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\n_\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n	llevando la justicia y la razón
De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\n_\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n	mujer
De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\n_\nya estás aquí\njunto al trabajador.\n	con fuego y con valor
De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\n_\njunto al trabajador.\n	ya estás aquí
De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\n_\n	junto al trabajador.
7\n	De pie, cantar\nel pueblo va a triunfar\nmillones ya,\nimponen la verdad,\nde acero son\nardiente batallón\nsus manos van\nllevando la justicia y la razón\nmujer\ncon fuego y con valor\nya estás aquí\njunto al trabajador.\n
El pueblo unido jamás será vencido,\n	_\nel pueblo unido jamás será vencido...\n
el pueblo unido jamás será vencido...\n	El pueblo unido jamás será vencido,\n_\n
De pie, cantar\n	_\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n
que vamos a triunfar.\n	De pie, cantar\n_\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n
Avanzan ya\n	De pie, cantar\nque vamos a triunfar.\n_\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n
banderas de unidad.\n	De pie, cantar\nque vamos a triunfar.\nAvanzan ya\n_\nY tú vendrás\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n
Y tú vendrás\n	De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\n_\nmarchando junto a mí\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n
marchando junto a mí\n	De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\n_\ny así verás\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n
y así verás\n	De pie, cantar\nque vamos a triunfar.\nAvanzan ya\nbanderas de unidad.\nY tú vendrás\nmarchando junto a mí\n_\ntu canto y tu bandera florecer,\nla luz\nde un rojo amanecer\nanuncia ya\nla vida que vendrá.\n
