momentan	aktuelan
aber	ali
beschäftigen	baviti
Problem	belaj
Krankheit	bolest
ja	da
also/daher	dakle
Tag	dan
gut	dobar
auf Wiedersehen	doviđenja
kommen	doći
anders	drugačiji
lang	dugo
länger	duže
zwei	dva
Wirtschaftlichkeit	ekonomičnost
Sendung	emisija
anschauen	gledati
sprechen	govoriti
Grippe	gripa
wollen	htjeti
danke	hvala
oder	ili
haben	imati
Name	ime
Informatik	informatike
interessant	interessantan
gleich/dasselbe	isto
aus	iz
entschuldigen	izviniti
weil	jer
essen	jesti
Morgen	jutro
gestern	jučer
als	kad
Buch	kniga
Auto	kola
kurz	kratak
kürzer	kraće
Bett	krevet
Schachtel	kutija
schlecht	loš
ein bisschen/wenig	malo
denken	misliti
viel	mnogo
bitte	molim
müssen	morati
können	moći
finden	nalaziti
anrufen	nazvati
nein	ne
Sonntag	nedjelja
als	nego
auch nicht	ni
Deutschland	njemačka
beide	oba
erklären	objasniti
weggehen	odlazi
dann	onda
Betriebssystem	operativni sistem
schon wieder	opet
verzeihen	oprostiti
hier	ovdje
dass	ovo
Freitag	petak
schreiben	pisati
trinken	piti
Lunge	pluća
Montag	ponedeljak
wiederholen	ponoviti
Familie	porodica
Richtung	pravac
Vorlesung	predavanje
zu spät	prekasno
zu wenig	premalo
auslassen	prskočiti
zuerst	prvo
viel	puno
herauslassen	pustiti
arbeiten	raditi
vorher	raniji
Raub	razbojništvo
sprechen mit	razgovarati
verstehen	razumjeti
sagen	reći
Wort	riječ
Mittwoch	rsijeda
mit	sa
jetzt	sada
nur	samo
Schwester	sestra
Sicherheit	sigurnost
ähnlich	slično
hören	slušati
Richtung	smjer
dürfen	smjeti
schlafen	spavati
Student	student
Ding	stvar
Samstag	subota
morgen	sutra
auch	također
schwierig	težak
körperlich	tjelasan
in	u
Straße	ulica
Kunst	umjetnost
müde	umoran
machen	uraditi
Dienstag	utorak
immer	uvijek
nehmen	uzeti
Grund	uzrok
Übung	vječba
üben	vječbati
glauben	vjerovati
Wasser	voda
Fahrer	vozač
Zeit	vrijeme
sehr	vrlo
für/nach	za
geschlossen	zatvoren
warum	zašto
Winter	zima
wissen	znati
nennen/rufen	zvati
Tee	čaj
oft	često
Donnerstag	četvrtak
Schule	škola
wünschen/wollen	želiti
früher	ranije
kommen	dolaziti
daher	stoga
hoffen	nadati se
an/in/am/auf	na
treffen	sresti
dort	tamo
Theater	kazalište
tanzen	plesati
mein	moj
Kleid	haljina
blau	plav
kochen	kuhati
Torte	torta
feiern	slaviti
gehen	ići
LKW	kamion
Bruder	brat
Onkel	ujak
Vater	otac
Onkel	striz
Ehemann	muž
von/ab/seit	od
Tante	tetka
Onkel	detak
Frau	žena
wann/als	kada
abends	uveče
Mittagessen	ručak
sein	biti
Universität	sveučilište
bekommen	dobiti
Arbeit	rad
besser	bolje
wenn/falls	ako
durch	preko
Himmel	nebo
alles	sve
wirklich	zvaista
besuchen	posjetiti
Großvater	djed
heute	danas
liegen	ležati
vielleicht	možda
Nebel	magla
fühlen	osjećati
über	iznade
Frage	pitanje
Absicht/Vorhaben	namjera
Ergebnis	rezultat
Idee	ideja
noch	još
lernen	učiti
verraten	izdati
geben	dati
Zukunft	budučnost
Gegenwart	sadašnjost
Vergangenheit	prošlost
Erinnerung	sječanje
sich erinnern	sječati se
sauber	čisto
Mitte	sredina
eins	jedan
zwei	dwa
drei	tri
vier	četri
fünf	pet
sechs	šest
sieben	sedam
acht	osam
neun	devet
zehn	deset
brauchen	trebati
erzählen	kazati
sprechen	pričati
fragen	pitati
gehen	hodati
stehen	stajati
runter	dolje
machen	napraviti
hallo	zdravo
Flugzeug	avion
Westen	zapad
hi	ćao
Fahrrad	bicikl
lieben	voljeti
reisen	putovati
bleiben	ostati
nach vorn	pravo
hoch	gore
Begrüßung	pozdrav
naja	onako
Fähre	trajekt
links	lijevo
einfach	laku
sehen	viditi
rechts	desno
Norden	sjever
Osten	istok
Süden	jug
drehen/umdrehen	skrenuti
Auto	auto
Zug	voz
Bus	autobus
Schiff	brod
zu Fuß	pješke
sehen	vidjeti
Woche	sedmica
Monat/Mond	mjesec
Januar	januar
Februar	februar
März	mart
April	april
Mai	maj
Juni	juni
Juli	juli
August	avgust
September	septembar
Oktober	oktobar
November	novembar
Dezember	decembar
Frühling	proljeće
Sommer	ljeto
Herbst	jesen
Winter	zima
Jahr	godina
elf	jenanaest
zwölf	dvanaest
dreizehn	trineast
vierzehn	četrnaest
fünfzehn	petnaest
sechzehn	šesnaest
siebzehn	sedamnaest
achtzehn	osamnaest
neunzehn	devetnaest
zwanzig	dvadeset
einundzwanzig	dvadeset jedan
zweiundzwanzig	dvadeset dva
dreißig	trideset
vierzig	četrdeset
fünfzig	pedeset
sechzig	šezdeset
siebzig	sedamdeset
achtzig	osamdeset
neuzig	devedeset
hundert	sto
einhunderteins	sto jedan
zweihundert	dvojesto
dreihundert	trijesto
vierhundert	četirinesto
fünfhundert	petsto
sechshundert	šeststo
siebenhundert	sedamsto
achthundert	osamsto
neunhundert	devetsto
tausend	hiljadu
weiß	bijela
gelb	žuta
orange	narandžasta
rot	crvena
pink	roza
violett	ljubičasta
blau	plava
grün	zelena
grau	siva
schwarz	carn
brown	smeđa
Stunde	sat
Minute	minuta
Sekunde	sekunda
Mittag	podne
Abend	večer
Nacht	noć
morgens	ujutru/ujutro
mittags	popodne
abends	naveče
übermorgen	prekosutra
vorgestern	prekjuče
diesen Sommer	ovo ljeto
nächsten Sommer	iduće ljeto
letzten Sommer	prošlo ljeto
Wie viel Uhr ist es?	Koliko je sati?
Es ist _ Uhr.	_ je sati.
Es ist exakt _ Uhr.	Tačno je _ sati.
Es ist _2 Minuten nach _1.	_1 (sati) i _2 (minuta).
Es ist _1 vor _2.	_1 (minuta) do _2 (sati).
Kleidung	odjeća
Hose	pantalone
Jeans	farmerke
Shorts	šorc
Hemd	majica
T-Shirt	majica kratkih rukava
Jacke	jakna
Anzug	odijelo
Rock	suknja
Kleid	haljina
Socken	čarape
Schuhe	cipele
Sandalen	sandale
Pantoffeln	papuče
Handschuhe	rukavice
Schal	šal
Kappe	kapa
Hut	šešir
Kravatte	kravata
Stadt	grad
Geschlecht	rod
Storch	roda
Eltern	roditelji
Familie/Verwandte/Verwandtschaft	rodbina
verlassen	napustiti
Brei	kaša
Husten	kašalj
spät	kasan
sterben	umrijeti
Nachricht (f)	poruka
Gegenteil (n)	suprotnost
senden	emitirati
Auszug (m)	izvod
Sohn (m)	sin
irgendjemand	bilo ko
irgendwo	bilo dje
irgendetwas	bilo šta
pensioniert	umirovljen
Es geht ihm gut.	Dobro mu je.
Wie geht es ihm?	Kako mu je?
Mutter/Großmutter (f)	majka
später	kasnije
alt	star
einrichten	osnovati
nahe	nadomak
übertreffen	nadmašiti
nämlich/und zwar	naime
halbwegs	iole
schon/bereits	već
Ich bin schon unterwegs!	Već nam sa putu!
Gymnasium (f)	gimnazija
Gymnastik (f)	gimnastika
anfangen/beginnen	počinjati
Kirche (f)	crkva
Präsident (m)	predsjednik
Ort/Platz/Stelle (n)	mjesto
monatlich	mjesečni/mjesnečno
Zweig (m)	ogranak
Einschränkung (n)	ograničenje
begrenzt	ograničen
Junge (m)	mladić
Legion (f)	legija
es/das	to
dadurch	kroz to
Lass das!	Ostavi to!
Zeitalter (n)	doba
sich mit etwas beschäftigen	baviti se nečim
Eislaufen (n)	klizanje na ledu
Berg (f)	planina
wo	gdje
wo/wohin	kuda
echt	pravi
Regel (n)	pravilo
fair/gerecht/richtig	pravično
Darsteller/Schauspieler (m)	glumac
spielen	glumiti
Vielfalt/Verschiedenheit (f)	raznolikost
Gebärmutter (f)	maternica
Material (m)	materijal
Muttersprache (m)	maternji jezik
hinsichtlich	s obzirom na
hervorragend/toll	odličan
sehr gut	odlično
Erfolg (m)	uspjeh
erfolgreich	uspješan
nachdem	nakon što
Gewicht (m)	teg
Umzug (f)	selidba
erwarten	očekivati
offensichtlich	očevidan
zweifeln	dvoumiti se
zwischen/dazwischen	između
gleich/egal	jednak
