§1\n\n_\nEs wäre kein ewiger Weg.\nKönnten wir nennen den Namen,\nEs wäre kein ewiger Name.\n	Könnten wir weisen den *Weg*,
§1\n\nKönnten wir weisen den *Weg*,\n_\nKönnten wir nennen den Namen,\nEs wäre kein ewiger Name.\n	Es wäre kein ewiger Weg.
§1\n\nKönnten wir weisen den *Weg*,\nEs wäre kein ewiger Weg.\n_\nEs wäre kein ewiger Name.\n	Könnten wir nennen den Namen,
§1\n\nKönnten wir weisen den *Weg*,\nEs wäre kein ewiger Weg.\nKönnten wir nennen den Namen,\n_\n	Es wäre kein ewiger Name.
§2\n\n_\nIst Anfang von Himmel und Erde;\nWas Namen hat,\nIst Mutter den zehntausend Wesen.\n	Was ohne Namen,
§2\n\nWas ohne Namen,\n_\nWas Namen hat,\nIst Mutter den zehntausend Wesen.\n	Ist Anfang von Himmel und Erde;
§2\n\nWas ohne Namen,\nIst Anfang von Himmel und Erde;\n_\nIst Mutter den zehntausend Wesen.\n	Was Namen hat,
§2\n\nWas ohne Namen,\nIst Anfang von Himmel und Erde;\nWas Namen hat,\n_\n	Ist Mutter den zehntausend Wesen.
§3\n\n_\nWer ewig ohne Begehren,\nWird das Geheimste schaun;\nWer ewig hat Begehren,\nErblickt nur seinen Saum.\n	Wahrlich:
§3\n\nWahrlich:\n_\nWird das Geheimste schaun;\nWer ewig hat Begehren,\nErblickt nur seinen Saum.\n	Wer ewig ohne Begehren,
§3\n\nWahrlich:\nWer ewig ohne Begehren,\n_\nWer ewig hat Begehren,\nErblickt nur seinen Saum.\n	Wird das Geheimste schaun;
§3\n\nWahrlich:\nWer ewig ohne Begehren,\nWird das Geheimste schaun;\n_\nErblickt nur seinen Saum.\n	Wer ewig hat Begehren,
§3\n\nWahrlich:\nWer ewig ohne Begehren,\nWird das Geheimste schaun;\nWer ewig hat Begehren,\n_\n	Erblickt nur seinen Saum.
